experiment_id,experiment_name,type,raw_features,n_channels,n_params,seed,best_epoch,train_time_sec,auroc,auprc,precision,recall,specificity,f1,brier,threshold,delta_auroc_vs_vitals,delta_auprc_vs_vitals,delta_auroc_vs_full,delta_auprc_vs_full,n_train_patients,n_val_patients,n_test_patients,train_prevalence,test_prevalence
I,all_minus_creatinine,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; wbc; platelets; bilirubin,19,68289,42,5,526.9,0.8161418830262575,0.1465899913653327,0.168462291870715,0.29086809470124014,0.9678445631178275,0.2133553855695679,0.19495655596256256,0.8599999999999999,0.02457867910225031,0.01746241930421008,-0.005442183319248839,0.0013928867023293712,9839,2109,2109,0.02167,0.02191
G,all_minus_lactate,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; ph; creatinine; wbc; platelets; bilirubin,19,68289,42,5,414.4,0.7992665871629866,0.14568206235324904,0.15593464680442096,0.36583990980834274,0.9556489792826572,0.21866576819407008,0.1967073380947113,0.8199999999999998,0.007703383238979455,0.01655449029212641,-0.022317479182519695,0.000484957690245702,9839,2109,2109,0.02167,0.02191
F,vitals_all_labs,full-baseline,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; creatinine; wbc; platelets; bilirubin,22,68481,42,6,450.5,0.8215840663455063,0.14519710466300334,0.15392379510471865,0.3438556933483653,0.9576689517605322,0.2126546975771309,0.1308625042438507,0.8499999999999999,0.03002086242149915,0.01606953260188071,0.0,0.0,9839,2109,2109,0.02167,0.02191
C,vitals_ph,add-one-in,heart_rate; spo2; respiratory_rate; temperature; ph,7,67521,42,9,512.9,0.8028728294244973,0.13499887949982,0.15655629139072846,0.33314543404735064,0.9598025476902877,0.21301135339700847,0.14971564710140228,0.8649999999999999,0.011309625500490195,0.005871307438697376,-0.018711236921008956,-0.010198225163183333,9839,2109,2109,0.02167,0.02191
N,all_minus_platelets,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; creatinine; wbc; bilirubin,19,68289,42,12,613.4,0.8053658806807438,0.1298978669036134,0.15160022459292533,0.3043968432919955,0.9618477698241361,0.20239880059970014,0.17218932509422302,0.8849999999999999,0.013802676756736632,0.0007702948424907763,-0.01621818566476252,-0.015299237759389933,9839,2109,2109,0.02167,0.02191
A,vitals_only,baseline,heart_rate; spo2; respiratory_rate; temperature,4,67329,42,10,461.1,0.7915632039240071,0.12912757206112263,0.1432715911626869,0.36189402480270577,0.951533285358987,0.2052757793764988,0.1458677500486374,0.8299999999999998,0.0,0.0,-0.03002086242149915,-0.01606953260188071,9839,2109,2109,0.02167,0.02191
M,all_minus_wbc,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; creatinine; platelets; bilirubin,19,68289,42,12,4270.1,0.8024063334904818,0.12708777403815935,0.15942446043165467,0.31228861330326946,0.9631228774507947,0.21108782625261954,0.16019929945468903,0.8849999999999999,0.010843129566474707,-0.0020397980229632795,-0.019177732855024443,-0.01810933062484399,9839,2109,2109,0.02167,0.02191
O,all_minus_bilirubin,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; creatinine; wbc; platelets,19,68289,42,11,598.4,0.8073512131641287,0.11859201171114093,0.15631095012538312,0.31623449830890643,0.9617720208562158,0.20921126235316054,0.12982897460460663,0.8599999999999999,0.01578800924012158,-0.010535560349981696,-0.01423285318137757,-0.026605092951862405,9839,2109,2109,0.02167,0.02191
B,vitals_lactate,add-one-in,heart_rate; spo2; respiratory_rate; temperature; lactate,7,67521,42,6,429.2,0.8009587268753396,0.11755147233259577,0.17256637168141592,0.24182638105975196,0.9740307288313197,0.20140845070422536,0.12571316957473755,0.8349999999999999,0.009395522951332502,-0.011576099728526856,-0.020625339470166648,-0.027645632330407566,9839,2109,2109,0.02167,0.02191
K,vitals_platelets,add-one-in,heart_rate; spo2; respiratory_rate; temperature; platelets,7,67521,42,8,580.9,0.7957779394097357,0.11020078638386967,0.16066338429644986,0.34949267192784667,0.9591081821510182,0.2201313687200426,0.10645943135023117,0.8499999999999999,0.0042147354857285935,-0.018926785677252964,-0.025806126935770557,-0.03499631827913367,9839,2109,2109,0.02167,0.02191
